20:03:08 [INFO] Found game object: Confiner
20:03:08 [INFO] Found game object: Square
20:03:08 [INFO] Found game object: GameObject
20:03:08 [INFO] Found game object: pos
20:03:08 [INFO] Found game object: BossManager
20:03:08 [INFO] Found game object: pos (15)
20:03:08 [INFO] Found game object: pos (17)
20:03:08 [INFO] Found game object: pos (21)
20:03:08 [INFO] Found game object: pos (3)
20:03:08 [INFO] Found game object: Torches
20:03:08 [INFO] Found game object: pos (18)
20:03:08 [INFO] Found game object: Boss
20:03:08 [INFO] Found game object: BossRoom
20:03:08 [INFO] Found scene: Menu
[WARN] Duplicated scene found. Scenes should have distinct names. Otherwise, they may be difficult to load. See "C:\Users\titoi\OneDrive\Bureau\Travaux\Balthazar\balthazar\Assets\Scenes\Game\Menu.unity".
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: QuitButton
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: StartButton (2)
20:03:08 [INFO] Found game object: MenuManager
20:03:08 [INFO] Found game object: StartButton (1)
20:03:08 [INFO] Found game object: Earth
20:03:08 [INFO] Found game object: Fire
20:03:08 [INFO] Found game object: Background
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: Water
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Main Camera
20:03:08 [INFO] Found game object: StartButton
20:03:08 [INFO] Found game object: SaveSlotSpace
20:03:08 [INFO] Found game object: Wind
20:03:08 [INFO] Found game object: Player
20:03:08 [INFO] Found game object: MainImage
20:03:08 [INFO] Found game object: SoundManager
20:03:08 [INFO] Found game object: SaveManager
20:03:08 [INFO] Found game object: AchievementManager
20:03:08 [INFO] Found scene: Score
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found scene: TransitionRoom
20:03:08 [INFO] Found game object: Chunk (16,-16)
20:03:08 [INFO] Found game object: PlayerSpawn
20:03:08 [INFO] Found game object: Chunk (16,-16)
20:03:08 [INFO] Found game object: ChangeLvlPortalDecor
20:03:08 [INFO] Found game object: TransitionRoom
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: VoidFireStand (1)
20:03:08 [INFO] Found game object: Chunk (16,-16)
20:03:08 [INFO] Found game object: Chunk (0,-16)
20:03:08 [INFO] Found game object: Grid
20:03:08 [INFO] Found game object: special-tiles
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Chunk (-16,-16)
20:03:08 [INFO] Found game object: Spawn
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Chunk (-16,-16)
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: VoidFireStand (2)
20:03:08 [INFO] Found game object: level
20:03:08 [INFO] Found game object: Chunk (-16,-16)
20:03:08 [INFO] Found game object: background
20:03:08 [INFO] Found game object: ChangeLvlPortal
20:03:08 [INFO] Found game object: Collision_Default
